source_id,title,authors,journal,year,doi,pmid,trial,study_type,prespecified_or_posthoc,population,intervention,comparator,primary_endpoint,key_result,limitations,evidence_level,used_for_claims
SUSTAIN6-PIONEER6-EGFR-KI-2023,"Post hoc analysis of SUSTAIN 6 and PIONEER 6 trials suggests that people with type 2 diabetes at high cardiovascular risk treated with semaglutide experience more stable kidney function compared with placebo","Tuttle KR; Bosch-Traberg H; Cherney DZI; et al.","Kidney Int",2023,10.1016/j.kint.2022.12.028,36738891,"SUSTAIN-6 + PIONEER-6 pooled",Post hoc pooled analysis,Post hoc,"T2D at high CV risk; N=6480 (3239 semaglutide/3241 placebo)","Semaglutide SC/oral",Placebo,"Annual eGFR slope and persistent >=30%, >=40%, >=50%, or >=57% eGFR decline","Annual-slope difference +0.59 (0.29-0.89) mL/min/1.73m2; all four persistent-decline HR point estimates below 1 overall and numerically lower at baseline eGFR 30-<60, without detected treatment-by-eGFR interaction","PubMed abstract does not report the four threshold-specific HRs/CIs/P values; version of record not acquired; multiple post hoc thresholds and non-kidney-enriched CVOT populations",Suggestive (post hoc; directional threshold evidence),"05;12;15"
SUSTAIN6LEADER-KIDNEY-CIRC-2021,"Effect of the Glucagon-Like Peptide-1 Receptor Agonists Semaglutide and Liraglutide on Kidney Outcomes in Patients With Type 2 Diabetes: Pooled Analysis of SUSTAIN 6 and LEADER","Shaman AM; Bain SC; Bakris GL; et al.",Circulation,2022,10.1161/CIRCULATIONAHA.121.055459,34903039,"SUSTAIN-6 + LEADER pooled",Post hoc pooled analysis,Post hoc,"T2D at high CV risk; pooled semaglutide and liraglutide parent CVOTs","Semaglutide or liraglutide",Placebo,"Persistent >=30%, >=40%, >=50%, or >=57% eGFR decline","Overall HRs: >=30% 0.92 (0.84-1.02), P=0.10; >=40% 0.86 (0.75-0.99), P=0.039; >=50% 0.80 (0.66-0.97), P=0.023; >=57% 0.89 (0.69-1.13), P=0.34","Post hoc, pooled two different molecules and non-kidney-enriched CVOTs; multiple thresholds; nominal 40%/50% results cannot be assigned to semaglutide alone",Suggestive (post hoc pooled-molecule evidence),"05;12;15"
ADA-STANDARDS-2025,"11. Chronic Kidney Disease and Risk Management: Standards of Care in Diabetes-2025","American Diabetes Association Professional Practice Committee","Diabetes Care",2025,10.2337/dc25-S011,39651975,n/a,Clinical practice guideline,n/a,n/a,n/a,n/a,n/a,"Final guideline: Recommendation 11.5a retained SGLT2i with demonstrated benefit for T2D+CKD at eGFR>=20; 11.5b recommended a GLP-1 agonist with demonstrated benefit to reduce CV risk and kidney-disease progression","Official article/PDF directly checked; educational/nonprofit-use license does not authorize alteration or unrestricted redistribution; recommendation does not prove combination additivity or displace SGLT2i foundational evidence",High (final guideline; official recommendation verified),"01;11;12;13;15"
FLOW-PRIMARY-2024,"Effects of Semaglutide on Chronic Kidney Disease in Patients with Type 2 Diabetes","Perkovic V; Tuttle KR; Rossing P; et al.","N Engl J Med",2024,10.1056/NEJMoa2403347,38785209,FLOW (NCT03819153),RCT,Primary,"T2D + CKD; eGFR 25-75 with two enrollment pathways by UACR; on max tolerated/labeled RASi; N=3533 (1767/1766)","Semaglutide 1.0 mg SC weekly",Placebo,"5-component composite: sustained >=50% eGFR decline, persistent eGFR<15, chronic KRT initiation, kidney death, CV death","Primary composite 331 (18.7%) vs 410 (23.2%), HR 0.76 (0.66-0.88) P=0.0003, NNT 20 (14-40) @3y; kidney-specific 4-component composite 218 (12.3%) vs 260 (14.7%) HR 0.79 (0.66-0.94); CV death alone HR 0.71 (0.56-0.89); total eGFR slope diff 1.16 (0.86-1.47) mL/min/1.73m2/yr; baseline-to-week-12 eGFR change -1.07 vs -1.05, difference -0.03 (-0.56 to 0.51), showing no semaglutide-specific differential dip through week 12 while not excluding an earlier resolved transient; chronic week-12-to-end slope -2.36 vs -3.30, difference +0.94 (0.62-1.26); MACE HR 0.82 (0.68-0.98); all-cause death HR 0.80 (0.67-0.95); week-156 MACE/mortality NNTs are sourced separately to FLOW-CKDSEVERITY-2025","Crossed the efficacy boundary at the prespecified approximately 570-event interim; 741/854 planned events had accrued by final database lock after the stop recommendation; confirmatory secondaries not GSD-adjusted; only 15.6% baseline SGLT2i, 7.3% MRA (0 finerenone); not powered for kidney-failure components alone; mostly White population; industry-sponsored (Novo Nordisk)",High,"02;03;04;06;09;10;11;12;13;14;15"
FLOW-SUPPLEMENT-2024,"Supplementary Appendix to Perkovic et al. 2024 (FLOW)","Perkovic V; Tuttle KR; Rossing P; et al.","NEJM.org supplement",2024,10.1056/NEJMoa2403347,38785209,FLOW (NCT03819153),Supplementary appendix,n/a,"as FLOW-PRIMARY-2024","as FLOW-PRIMARY-2024","as FLOW-PRIMARY-2024","as FLOW-PRIMARY-2024","Verbatim eligibility criteria (two eGFR/UACR pathways, eGFR>=60 capped at 20% of N); alpha-spending/interim-analysis mechanics (Lan-DeMets, O'Brien-Fleming-approximating, nominal two-sided 0.0322); CV death ~35% of primary-endpoint components (Table S2 note, not an exact first-event or treatment-effect share); Table S3 sensitivity analyses (HR range 0.75-0.77); Table S4 safety detail","This 33-page supplementary appendix is distinct from the separately posted standalone protocol and SAP; component rows in Table 2/S2 overlap and are not a mutually exclusive first-event partition; confirmatory secondary outcomes not separately GSD-adjusted",High,"02;03;06;09;10;12;13;14;15"
FLOW-DESIGN-2023,"The rationale, design and baseline data of FLOW, a kidney outcomes trial with once-weekly semaglutide in people with type 2 diabetes and chronic kidney disease","Rossing P; Baeres FMM; Bakris G; et al.","Nephrol Dial Transplant",2023,10.1093/ndt/gfad009,36651820,FLOW (NCT03819153),Trial design/baseline paper,n/a,"T2D + CKD as designed",n/a,n/a,n/a,"Reports N=3534 at baseline/design stage vs 3533 randomized in the primary publication; checked sources do not establish the reason for this difference (not inferred as enrolled-vs-randomized/dosed/analysis-population)","Design/rationale paper; full text obtained but reason for N discrepancy not established by any checked source",High (bibliographic identity); discrepancy unresolved,"01;02;12;15"
FLOW-DESIGN-2023-CORRECTION,"Correction to: The rationale, design and baseline data of FLOW","Rossing P; et al.","Nephrol Dial Transplant",2024,10.1093/ndt/gfad252,38033315,FLOW (NCT03819153),Erratum,n/a,n/a,n/a,n/a,n/a,"One-page correction notice; does not substitute for design-paper full text",n/a,"High (identity only)","01"
FLOW-SGLT2-2024,"Effects of semaglutide with and without concomitant SGLT2 inhibitor use in participants with type 2 diabetes and chronic kidney disease in the FLOW trial","Mann JFE; Rossing P; Bakris G; et al.","Nat Med",2024,10.1038/s41591-024-03133-0,38914124,FLOW (NCT03819153),RCT prespecified subgroup analysis,Prespecified,"FLOW participants by baseline SGLT2i use: users n=550 (277/273) vs non-users n=2983 (1490/1493)","Semaglutide 1.0 mg SC weekly",Placebo,"Primary 5-component composite (sustained >=50% eGFR decline, persistent eGFR<15, chronic KRT, kidney death, or CV death) and kidney-specific 4-component composite, by baseline SGLT2i subgroup","Primary composite: users HR 1.07 (0.69-1.67) vs non-users HR 0.73 (0.63-0.85), P-interaction=0.109; kidney-specific composite: users HR 1.18 (0.71-1.98) vs non-users HR 0.75 (0.61-0.90), P-interaction=0.100; sustained >=50% eGFR-decline component: users HR 1.30 (0.76-2.26), 30/277 vs 23/273, non-users HR 0.66 (0.53-0.83), 135/1489 vs 190/1493, nominal P-interaction=0.023; creatinine total-slope differences +0.75 (-0.01 to 1.50) vs +1.25 (0.91-1.58), P-interaction=0.237; post hoc cystatin-C five-component HR 0.74 (0.47-1.16) vs 0.70 (0.60-0.82), P-interaction=0.844; cystatin-C slope differences +0.92 (0.16-1.68) vs +1.55 (1.21-1.88), P-interaction=0.142; week-104 cystatin-C change differences +3.5 (1.6-5.4) vs +3.4 (2.5-4.2), P-interaction=0.901; exposure-defined semaglutide effects HR 0.88 vs 0.70, P-interaction=0.169; time-varying-SGLT2i-adjusted semaglutide-vs-placebo coefficient HR 0.75 (0.65-0.86), not an ever-vs-never effect; UACR reduction 24% vs 34%, P-interaction=0.279","Subgroup underpowered (only 79 primary events in SGLT2i-user stratum); baseline and subsequent SGLT2i exposure were non-randomized; asymmetric post-randomization initiation has no identifiable bias direction; hard-composite HRs 1.07/1.18 and wide CIs remain compatible with incremental benefit, null effect, or harm; isolated component P-interaction=0.023 is unadjusted for multiplicity and does not prove harm or true effect modification; post hoc cystatin-C concordance does not establish additivity",High (subgroup analysis; insufficient for definitive additive-benefit claim),"02;04;07;10;12;13;14;15"
FLOW-MRA-2025,"Effects of Semaglutide With or Without Concomitant Mineralocorticoid Receptor Antagonist Use in Participants With Type 2 Diabetes and Chronic Kidney Disease: A FLOW Trial Prespecified Secondary Analysis","Rossing P; Bakris G; Perkovic V; et al.","Diabetes Care",2025,10.2337/dc25-0472,40730031,FLOW (NCT03819153),RCT prespecified subgroup analysis,Prespecified,"FLOW participants by baseline MRA use: users n=257 (136/121; spironolactone 218, eplerenone 38, esaxerenone 1, finerenone 0) vs non-users n=3276 (1631/1645)","Semaglutide 1.0 mg SC weekly",Placebo,"Primary 5-component composite (sustained >=50% eGFR decline, persistent eGFR<15, chronic KRT, kidney death, or CV death), by baseline MRA subgroup","MRA users: 23/136 (16.9%) vs 36/121 (29.8%), HR 0.51 (0.30-0.86), 59 events; non-users: 308/1631 (18.9%) vs 374/1645 (22.7%), HR 0.79 (0.68-0.92), 682 events; P-interaction=0.12; exploratory 3-year NNT: users 9, non-users 23; kidney-specific 4-component P-interaction=0.068; RRT-component P-interaction=0.027 (only 11 events, uncorrected)","Baseline MRA users were predominantly spironolactone/eplerenone; zero baseline finerenone users (not yet approved during FLOW recruitment, 2019-2021); explicitly exploratory subgroup per authors; subgroup NNTs not to be treated as trial-level; cannot support a semaglutide+finerenone additive-efficacy claim","High for overall FLOW effect; exploratory subgroup with no detected heterogeneity; semaglutide+finerenone specifically not established","02;03;04;08;11;12;13;14;15"
FLOW-CKDSEVERITY-2025,"Cardiovascular outcomes with semaglutide by severity of chronic kidney disease in type 2 diabetes: the FLOW trial","Mahaffey KW; Tuttle KR; Arici M; et al.","Eur Heart J",2025,10.1093/eurheartj/ehae613,39211948,FLOW (NCT03819153),RCT prespecified subgroup analysis,Prespecified,"FLOW participants by eGFR (<60/>=60), UACR (<300/>=300), and KDIGO risk class (low-moderate/high/very-high)","Semaglutide 1.0 mg SC weekly",Placebo,"CV death/MI/stroke and all-cause death, by CKD-severity strata","Overall CV death/MI/stroke HR 0.82 (0.68-0.98); by eGFR: <60 HR 0.87 (0.71-1.06), >=60 HR 0.59 (0.37-0.94) P-interaction .13; by UACR: <300 HR 1.04 (0.72-1.51), >=300 HR 0.75 (0.61-0.93) P-interaction .13; by KDIGO: low/moderate 0.67 (0.27-1.67), high 0.75 (0.50-1.12), very-high 0.84 (0.68-1.04) P-interaction .79; all-cause death overall HR 0.80 (0.67-0.95); all-cause death by UACR: <300 HR 1.17 (0.83-1.65) vs >=300 HR 0.70 (0.57-0.85) P-interaction=.01; nonfatal MI by eGFR: <60 HR 0.94 (0.63-1.39) vs >=60 HR 0.28 (0.09-0.87) P-interaction=.04; NNT (wk156): CV death/MI/stroke 45 (23-623), all-cause death 39 (21-238)","Historical local transcription misassigned the Figure 2 eGFR>=60 and KDIGO low/moderate/very-high values; the local reference file was corrected and the full matrix visually rechecked against the published Figure 2 image (PMCID PMC11931213) on 2026-09-05. Earlier/cached copies remain unsafe. The two significant interactions (UACR-mortality P=.01; eGFR-MI P=.04) are 2 of 15 uncorrected interaction tests and are judged likely due to chance by the trial's own authors",High (overall); Exploratory/hypothesis-generating (the two significant interactions),"02;03;04;05;12;13;14;15"
