"source_id",title,doi,pmid,pmcid,"article_version","landing_page","retrieval_url","repository","retrieval_method","access_route","license_spdx","license_url","license_evidence_url","reuse_decision","reuse_reviewed_by","retrieved_at_utc",pdf_sha256,"pdf_page_count",local_cache_path,"parser","parser_version","parser_model_version","parser_job_id","parser_parameters_sha256","markdown_sha256","parse_status",qa_status,"retraction_status","correction_relation","notes"
FLOW-DESIGN-2023,"The rationale, design and baseline data of FLOW, a kidney outcomes trial with once-weekly semaglutide in people with type 2 diabetes and chronic kidney disease","10.1093/ndt/gfad009",36651820,PMC10469096,"Version of Record","https://europepmc.org/articles/PMC10469096","https://europepmc.org/articles/PMC10469096?pdf=render","Europe PMC (Oxford Academic/NDT mirror)","WebFetch direct PDF fetch (see notes: MCP auto-download route mis-resolved)","Publisher open access (Oxford Academic / ERA)",CC-BY-NC-4.0,"https://creativecommons.org/licenses/by-nc/4.0/","https://pmc.ncbi.nlm.nih.gov/articles/PMC10469096/","Cite/paraphrase permitted (non-commercial academic re-use, CC BY-NC 4.0 confirmed in-text); do not redistribute PDF; commercial re-use would need OUP permission (not applicable here)","flow-literature-ingest","not_recorded",b3825701835d194ee277311b73dbf2e14f0890e81ba8ef5276ea87bc7d92b40f,11,"sources/retrieved/cache/pdfs/FLOW-DESIGN-2023_RossingNDT2023.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",f071ff7b63c364e67ea57017cce00e0a26531497d757cd3321a02e1eae36cac9,success,"PARTIAL - identity, DOI, design-paper N=3534, and CC BY-NC 4.0 notice spot-checked; tables/layout not comprehensively QA-passed","not_checked","corrected_by:FLOW-DESIGN-2023-CORRECTION (one-sentence finerenone-wording erratum, DOI 10.1093/ndt/gfad252)","The first automated request for PMC10469096 returned the one-page correction instead of the requested design paper; the correct design paper was then fetched separately and identity-checked. The design paper reports N=3534, whereas the primary FLOW analysis reports N=3533. Preserve each source-specific count; the reason for the one-person difference was not established by the checked sources."
FLOW-DESIGN-2023-CORRECTION,"Correction to: The rationale, design and baseline data of FLOW, a kidney outcomes trial with once-weekly semaglutide in people with type 2 diabetes and chronic kidney disease","10.1093/ndt/gfad252",38033315,PMC10966322,"Erratum/Correction notice; Version of Record","https://pmc.ncbi.nlm.nih.gov/articles/PMC10966322/","not_recorded (artifact arrived through a mis-resolved MCP response)","Europe PMC (Oxford Academic/NDT mirror)","paper-search MCP download_with_fallback (source=pmc) - MIS-RESOLVED, see notes","Open access via PMC/Europe PMC; direct lawful route: https://pmc.ncbi.nlm.nih.gov/articles/PMC10966322/",CC-BY-NC-4.0,"https://creativecommons.org/licenses/by-nc/4.0/","https://pmc.ncbi.nlm.nih.gov/articles/PMC10966322/","Cite as errata only; do not treat as substitute for FLOW-DESIGN-2023 full text","flow-literature-ingest","not_recorded",0a73f3b630e9ca398d0df604027926c2a77243b57af82a3660f4d7222ea63f1b,1,"sources/retrieved/cache/pdfs/FLOW-DESIGN-2023-CORRECTION_RossingNDT2024.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",448bb03e89f09d7d724afde899acf169ddcd3b349ad8039b263ec305f832faea,success,"PASS_IDENTITY - one-page erratum identity, DOI, PMID, PMCID, correction text, and CC BY-NC 4.0 notice verified; not a substitute for the design paper","not_applicable (correction notice)","corrects:FLOW-DESIGN-2023","The artifact was returned unintentionally when PMC10469096 was requested. It is a genuine one-page erratum and is retained as a separate citable correction record. Do not cite it as the FLOW design-paper full text."
SELECT-KIDNEY-2024,"Long-term kidney outcomes of semaglutide in obesity and cardiovascular disease in the SELECT trial",10.1038/s41591-024-03015-5,38796653,PMC11271413,"Version of Record","https://europepmc.org/articles/PMC11271413","https://europepmc.org/articles/PMC11271413?pdf=render","Europe PMC (Springer Nature mirror)","paper-search MCP download_with_fallback(source=pmc,paper_id=PMC11271413) - correctly resolved","Publisher open access (Nature Medicine)",CC-BY-4.0,"http://creativecommons.org/licenses/by/4.0/","https://pmc.ncbi.nlm.nih.gov/articles/PMC11271413/","Cite/paraphrase/redistribute permitted per CC-BY-4.0 (attribution required); do not bulk-redistribute the PDF itself into the public repo","flow-literature-ingest","not_recorded",79ccc4d0f2cf15ef8d71cbfa3bae5b46615891c96922cd6af87a3fa5e9b85fed,21,"sources/retrieved/cache/pdfs/SELECT-KIDNEY-2024_ColhounNatMed2024.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",e0f1cdce9b1be0cb1abb3d0213406a6ae49f5910abac8eab869be973a9bfd7cf,success,"PARTIAL / FAIL_FOR_UNFILTERED_RAG - identity, DOI, license, and HR 0.78 (0.63-0.96) spot-checked; parsed Markdown lines approximately 677-1044 are generic Nature Reporting Summary material and must be excluded from indexing","not_checked",,"Correct SELECT kidney-outcomes article. The article body was spot-checked, not comprehensively table-QA'd. Exclude the generic Nature Reporting Summary tail (approximately Markdown lines 677-1044) from any RAG/index build."
SUSTAIN6-PIONEER6-EGFR-NDT-2025,"Effect of semaglutide on kidney function across different levels of baseline HbA1c, blood pressure, body weight and albuminuria in SUSTAIN 6 and PIONEER 6","10.1093/ndt/gfae150",38955363,PMC11792646,"Version of Record","https://europepmc.org/articles/PMC11792646","https://europepmc.org/articles/PMC11792646?pdf=render","Europe PMC (Oxford Academic/NDT mirror)","paper-search MCP download_with_fallback(source=pmc,paper_id=PMC11792646) - correctly resolved","Publisher open access (Oxford Academic / ERA)",CC-BY-NC-4.0,"https://creativecommons.org/licenses/by-nc/4.0/","https://pmc.ncbi.nlm.nih.gov/articles/PMC11792646/","Cite/paraphrase permitted (non-commercial academic re-use); do not redistribute PDF","flow-literature-ingest","not_recorded",f42f98370c274d09479888ff2afc7b3e26c465ca785d1fc5f41effb063b1fbab,8,"sources/retrieved/cache/pdfs/SUSTAIN6-PIONEER6-KIDNEY-2025_ApperlooNDT2025.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",448b32311e1aaa319cbefebfab8c7526721b59f9af8a3db6fb99195e3c001a8f,success,"PARTIAL - identity, DOI, license, and pooled eGFR-slope treatment difference 0.59 (0.29-0.89) mL/min/1.73m2/year spot-checked; tables/layout not comprehensively QA-passed","not_checked",,"Correct article and CC BY-NC 4.0 notice verified. The parse has only undergone identity and selected-value spot checks; it is not provenance-complete or fully table-QA'd."
SOUL-KIDNEY-2026,"Impact of Oral Semaglutide on Kidney Outcomes in People With Type 2 Diabetes: Results From the SOUL Randomized Trial",10.2337/dc25-1080,41380027,PMC12824789,"Version of Record","https://europepmc.org/articles/PMC12824789","https://europepmc.org/articles/PMC12824789?pdf=render","Europe PMC (American Diabetes Association / Diabetes Care mirror)","WebFetch direct PDF fetch (see notes: MCP auto-download route mis-resolved to a different paper)","NIH/ADA public-access deposit (freely readable) - NOT a CC license grant",NOASSERTION,"https://diabetesjournals.org/journals/pages/license","https://diabetesjournals.org/journals/pages/license","RIGHTS INCIDENT - explicit TDM/ML prohibition found in-text (ADA). Third-party cloud (LlamaParse) processing of this PDF was NOT authorized; the parse stays private/gitignored and must not be presented as an authorized parse or used as the SOLE evidentiary basis for a claim. CORRECTED per P0 review: this is NOT a blanket quarantine from all citation - independently-verified EuropePMC abstract-API text (already captured, safe) and ordinary short, attributed quotation/paraphrase of publicly available material remain citable; only bulk reuse of the LlamaParse-derived full-text markdown is restricted.","flow-literature-ingest","not_recorded",219015442e677f5c20c1077f883a5bb26de775e22b1d22f6e78b19632e8d024d,10,"sources/retrieved/cache/pdfs/SOUL-KIDNEY-2026_MannDiabetesCare2026.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",ceb73c575a809070ddfc2bccde4c5d83bcbc659b5c8b6138c310b87162a25f59,success_output_exists; THIRD_PARTY_PROCESSING_AUTHORIZATION_NOT_ESTABLISHED,"PARTIAL / FAIL_FOR_UNFILTERED_RAG + RIGHTS_INCIDENT - identity and selected abstract/table values spot-checked; valid values are mis-rendered as strikethrough and a license notice is interleaved into Methods","not_checked",,"Correct SOUL kidney paper. The first automated PMC request returned the unrelated GRADE-CGM paper, which is separately quarantined; the correct paper was then fetched and parsed before the ADA TDM/ML restriction was recognized. Markdown lines 16/20/21 mis-render valid values as strikethrough, and line 116 interleaves license boilerplate into Methods. The private parse is not an authorized parse, must not be redistributed, and cannot be the sole evidentiary basis for a claim. Revalidate every used claim against the official article page or independently verified abstract/metadata; short attributed quotation/paraphrase of lawfully accessible material remains citable."
FLOW-DIALYSIS-SAFETY-2026,"Safety of Semaglutide After Dialysis Initiation: An Individual-Level Pooled Analysis",10.2337/dc26-0112,41893299,PMC13191398,"Version of Record","https://europepmc.org/articles/PMC13191398","https://europepmc.org/articles/PMC13191398?pdf=render","Europe PMC (American Diabetes Association / Diabetes Care mirror)","paper-search MCP download_with_fallback(source=pmc,paper_id=PMC13191398) - correctly resolved","NIH/ADA public-access deposit (freely readable) - NOT a CC license grant",NOASSERTION,"https://diabetesjournals.org/journals/pages/license","https://diabetesjournals.org/journals/pages/license","RIGHTS INCIDENT - same class as SOUL-KIDNEY-2026 (explicit ADA TDM/ML prohibition found in-text). The cloud-derived markdown parse stays private/gitignored and must not be presented as an authorized parse or used as the SOLE evidentiary basis for a claim. CORRECTED per P0 review: this is NOT a blanket quarantine from all citation - the independently-verified EuropePMC abstract-API numbers (already captured, safe) remain citable.","flow-literature-ingest","not_recorded",71d1b3446d7e6779f86ab5752e5f9b6e8effc096cf296723b4933d3f40e1766c,8,"sources/retrieved/cache/pdfs/FLOW-DIALYSIS-SAFETY-2026_KleinDiabetesCare2026.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",8f85e06902cdc1b3f19b5f1454f9789237428cfb4d94476dca188d6f2f52dfbc,success_output_exists; THIRD_PARTY_PROCESSING_AUTHORIZATION_NOT_ESTABLISHED,"PARTIAL + RIGHTS_INCIDENT - identity, DOI, and abstract-level n=307 spot-checked; full tables/layout not comprehensively QA-passed","not_checked",,"Parsed before the ADA TDM/ML restriction was recognized. The private parse must not be redistributed and cannot be the sole evidentiary basis for a claim. Revalidate every used claim against the official article page or independently verified abstract/metadata. The analysis describes patients who initiated dialysis during pooled trials; it does not establish efficacy or safety of starting semaglutide in maintenance dialysis."
CKM-GUIDELINE-2026,"2026 AHA/ACC/ADA/ASN Guideline for the Prevention, Detection, Evaluation, and Management of Cardiovascular-Kidney-Metabolic Syndrome",10.1016/j.jacc.2026.03.056,42265997,PMC13399222,"Author manuscript (NIH public access; not the publisher Version of Record)","https://europepmc.org/articles/PMC13399222","https://europepmc.org/articles/PMC13399222?pdf=render","Europe PMC (HHS/NIH Public Access mirror, hosted per NIH funding mandate)","paper-search MCP download_with_fallback(source=pmc,paper_id=PMC13399222) - correctly resolved","NIH public-access deposit (freely readable) - NOT a CC license grant; underlying copyright remains with AHA/ACC/Elsevier(JACC)",NOASSERTION,"not_recorded","https://www.heart.org/permissions","RIGHTS INCIDENT - the cached author manuscript expressly restricts copies, modification, alteration, enhancement, and distribution without AHA permission. Keep the LlamaParse output private and do not treat it as an authorized parse or sole evidentiary basis. Every recommendation or number derived from it must be manually revalidated against an official AHA/PMC reading source before citation; after revalidation, use only short, attributed paraphrase/quotation and do not redistribute the PDF or parsed Markdown.","flow-literature-ingest","not_recorded",6e29e11476881c12c714de5db7da149ba54acd2930132be0865b5f775d0d919f,208,"sources/retrieved/cache/pdfs/CKM-GUIDELINE-2026_NdumeleJACC2026.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",c352032cb090b820ff8df10c9434a7aced6e8b5b9502e12f89f2e9aaf8a2d6af,success_output_exists; THIRD_PARTY_PROCESSING_AUTHORIZATION_NOT_ESTABLISHED,"PARTIAL / FAIL_FOR_UNFILTERED_RAG + RIGHTS_INCIDENT - guideline identity verified; line 1796 corrupts SGLT2i and the 208-page tables/figures are not numerically QA-passed","not_checked",,"The author manuscript states that multiple copies, modification, alteration, enhancement, and distribution require AHA permission. It was parsed before this restriction was recognized. The private parse must not be redistributed and cannot be the sole evidentiary basis for a claim. Previously extracted recommendations or numbers must be manually revalidated against an official AHA/PMC reading source before use; ordinary short, attributed paraphrase remains possible after that revalidation."
MISFETCH-GRADE-CGM-2026,"[MISFETCH - NOT AN EVIDENCE SOURCE] Comparison of the Continuous Glucose Monitoring Profiles of Four Glucose-Lowering Medications in the GRADE Randomized Trial",10.2337/dc25-3055,41925680,PMC13186179,"Version of Record; unrelated misfetch","https://pmc.ncbi.nlm.nih.gov/articles/PMC13186179/","not_recorded (mis-resolved response to a request for PMC12824789)","Europe PMC (American Diabetes Association / Diabetes Care mirror)","paper-search MCP download_with_fallback(source=pmc,paper_id=PMC12824789) - MIS-RESOLVED to wrong PMCID/paper","NIH/ADA public-access deposit - NOT a CC license grant",NOASSERTION,"https://diabetesjournals.org/journals/pages/license","https://diabetesjournals.org/journals/pages/license","DO NOT USE. Unrelated to this evidence review (GRADE trial CGM substudy, not semaglutide/FLOW/SOUL). File is quarantined and must not be cited for any claim in this review. Also constitutes a second, independent rights incident (same ADA TDM/ML prohibition) since it was uploaded to LlamaParse in error before the restriction was identified.","flow-literature-ingest","not_recorded",6b062d9d442b082e72ef49c772e224fcca43ec3d349824a1e49fb00c738499f9,10,"sources/retrieved/cache/quarantine/MISFETCH_expected-SOUL-KIDNEY-2026_got-GRADE-CGM-substudy.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",43e9d241d3008da8314926422e076c8b3c1b5fe0615df082a13bb534aaa4ce81,success_output_exists; WRONG_DOCUMENT; THIRD_PARTY_PROCESSING_AUTHORIZATION_NOT_ESTABLISHED,"FAIL_IDENTITY - unrelated GRADE continuous-glucose-monitoring substudy returned for the SOUL request; quarantined and permanently excluded from evidence/RAG","not_checked","misfetch_for:SOUL-KIDNEY-2026","Identity verified locally as Bergenstal et al., DOI 10.2337/dc25-3055, PMID 41925680, PMCID PMC13186179; 10-page PDF and Markdown SHA-256 recorded. This is not a semaglutide CKD evidence source. Keep quarantined, do not cite, do not index, and do not redistribute the restricted parse."
FDA-LABEL-OZEMPIC-PI-2025,"OZEMPIC (semaglutide) injection - full prescribing information, supplement 035/037",,,,"Historical approved labeling; Reference ID 5676363; Revised 10/2025; superseded by 2026 supplement S-038","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/209637s035,209637s037lbl.pdf","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/209637s035,209637s037lbl.pdf","FDA (accessdata.fda.gov, Drugs@FDA)","WebFetch direct PDF fetch","Official FDA-hosted historical regulatory filing; sponsor-authored proprietary labeling",NOASSERTION,"not_recorded","not_recorded","The earlier government-work reuse classification is retracted. Treat this sponsor-authored label as proprietary content with license NOASSERTION. Local reading and short, attributed quotation may be used after checking the official label; do not infer permission to redistribute the PDF/Markdown or authorize third-party cloud processing. The private parse cannot be the sole evidentiary basis for a claim.","flow-literature-ingest","not_recorded",7ed45bef32f11d8a3525303e5d6135312d2f2ad78ea83f0024c27c2e92f3aa2b,57,"sources/retrieved/cache/pdfs/FDA_Ozempic_PI_2025_209637s035s037.pdf","llamaparse","not_recorded","not_recorded","not_recorded","not_recorded",3776393fb506793230a4be0288f6e73dfe5d29c765bcbe8df6c758fc1775e1f6,success_output_exists; THIRD_PARTY_PROCESSING_AUTHORIZATION_NOT_ESTABLISHED,"PARTIAL + RIGHTS_INCIDENT - identity, indication text, and selected FLOW table values spot-checked; proprietary rights and superseded revision noted; not a full content/layout QA","not_checked",,"The cached label contains Novo Nordisk copyright, manufacturer, and trademark notices. FDA hosting does not create a reuse grant. The prior government-work classification is retracted and must not be propagated. The private LlamaParse output is not rights-authorized, must not be redistributed, and cannot be the sole evidentiary basis for a claim; revalidate short attributed quotations against the official label. For current regulatory wording, use and verify the 2026 S-038 / DailyMed 5/2026 label rather than treating this 10/2025 revision as current."
FLOW-HF-2024,"Effects of Semaglutide on Heart Failure Outcomes in Diabetes and Chronic Kidney Disease in the FLOW Trial",10.1016/j.jacc.2024.08.004,39217553,,"Version of Record","https://doi.org/10.1016/j.jacc.2024.08.004",,"EuropePMC metadata API (abstract only)","mcp__paper-search__search_europepmc (metadata/abstract query, not a PDF/file download)","Publisher open-access Version of Record; automated retrieval returned HTTP 403, so full text was not acquired in this session",CC-BY-NC-ND-4.0,"https://creativecommons.org/licenses/by-nc-nd/4.0/","https://api.crossref.org/works/10.1016/j.jacc.2024.08.004","Abstract-level facts may be cited. Crossref records the Version of Record under CC BY-NC-ND 4.0; obtain through the publisher/browser route and do not distribute modified full-text derivatives.","flow-literature-ingest","not_recorded","not_applicable","not_applicable","not_applicable","not_used","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_attempted (full text not acquired)","ABSTRACT_ONLY - title, DOI, PMID, journal/year, and reported abstract results checked; full text and tables not inspected","not_checked",,"Crossref records PII S0735109724081166 under CC BY-NC-ND 4.0. An HTTP 403 from one automated route is only a route failure, not evidence of closed access. Full-text tables remain unverified."
